"ConsultantName","TeamLeader","AssessmentCount","AcceptableCount","SignificantCustomerHarmCount","SignificantCustomerExperienceIssueCount","SignificantProcessIssueCount","InternalIssueCount"
"WKMW Wendy K. Mendez","Devon","1","0","0","0","0",
"JDFG John D. Lee","Laura","1","0",,"0","0","0"
"ABWG Alice M. Thompson","Maria","1",,"0","0","0","0"
"NPGF Robert S. Miller","Devon","1",,"0","0","0","0"
"LMKJ Lisa J. Johnson","Maria","1","0","0",,"0","0"
"MNOP Michael K. Perez","Devon","1","0","0","0",,"0"
"JCGB Sarah R. Clark","Laura","1","0",,"0","0","0"
"HDFG David W. Taylor","Maria","1",,"0","0","0","0"
"JKHG Emily M. Roberts","Devon","1","0","0",,"0","0"
"LMKJ Laura M. O'Connor","Laura","1","0","0","0",,"0"
"DTBL Liam J. Smith","Laura","1",,"0","0","0","0"
"KKJH Karen B. Garcia","Maria","2","0","0","0",,
"OPUY Olivia H. Nguyen","Devon","2","0",,,"0","0"
"KJYT James H. Wilson","Devon","2","2","0","0","0","0"
"LMNH Ursula V. Scott","Devon","2","0","0",,"0",
