"AgentID","AgentName","Category"
"JDLS","John D. Lee","Category 1"
"JHWT","James H. Wilson","Category 1"
"KBGR","Karen B. Garcia","Category 1, Category 2"
"LJSM","Liam J. Smith","Category 1"
"LMOP","Laura M. O'Connor","Category 1"
"MKPZ","Michael K. Perez","Category 1, Category 4"
"OHNC","Olivia H. Nguyen","Category 1, Category 3"
"RSMB","Robert S. Miller","Category 1"
"UVSP","Ursula V. Scott","Category 1"
"EMRG","Emily M. Roberts","Category 2"
"LJJH","Lisa J. Johnson","Category 2"
"WKMW","Wendy K. Mendez","Category 2"
"AMTJ","Alice M. Thompson","Category 3"
"SRCL","Sarah R. Clark","Category 3"
