"ConsultantName","Assessments","TeamLeader"
"OPUY Olivia H. Nguyen","2","Devon"
"KKJH Karen B. Garcia","2","Maria"
"KJYT James H. Wilson","2","Devon"
"LMNH Ursula V. Scott","2","Devon"
"LMKJ Laura M. O'Connor","1","Laura"
"JKHG Emily M. Roberts","1","Devon"
"WKMW Wendy K. Mendez","1","Devon"
"DTBL Liam J. Smith","1","Laura"
"NPGF Robert S. Miller","1","Devon"
"ABWG Alice M. Thompson","1","Maria"
"JDFG John D. Lee","1","Laura"
"LMKJ Lisa J. Johnson","1","Maria"
"HDFG David W. Taylor","1","Maria"
"JCGB Sarah R. Clark","1","Laura"
"MNOP Michael K. Perez","1","Devon"
