AgentID, AgentName, Category
WKMW, Wendy K. Mendez, Category 2
JDLS, John D. Lee, Category 1
AMTJ, Alice M. Thompson, Category 3
RSMB, Robert S. Miller, Category 1
LJJH, Lisa J. Johnson, Category 2
MKPZ, Michael K. Perez, Category 4
SRCL, Sarah R. Clark, Category 3
RSMB, Robert S. Miller, Category 1
EMRG, Emily M. Roberts, Category 2
LMOP, Laura M. O'Connor, Category 1
LJSM, Liam J. Smith, Category 1
KBGR, Karen B. Garcia, Category 2
OHNC, Olivia H. Nguyen, Category 1
JHWT, James H. Wilson, Category 1
UVSP, Ursula V. Scott, Category 1
OHNC, Olivia H. Nguyen, Category 3
MKPZ, Michael K. Perez, Category 1
RSMB, Robert S. Miller, Category 1
RSMB, Robert S. Miller, Category 1
KBGR, Karen B. Garcia, Category 1
KBGR, Karen B. Garcia, Category 2
